160229-160307	+		160307-160315	-		160315-160321	+		160321-160329	-		160329-160405	+		160405-160420	-		160420-160504	+		160504-160512	-		160512-160603	+		160603-160615	-		160615-160713	+		160713-160801	-		160229-160801	#2		
有色	14.76		公共交通	4.66		证券	17.84		酿酒	3.92		仓储物流	10.35		煤炭	1.86		酿酒	9.98		家用电器	-1.12		元器件	14.69		有色	2.24		航空	19.81		银行	0.15		酿酒	40.32		
船舶	13.88		广告包装	2.84		多元金融	14.8		农林牧渔	-0.18		日用化工	7.77		钢铁	1.44		公共交通	8.13		酿酒	-1.25		矿物制品	12.88		矿物制品	1.72		煤炭	18.78		电力	-0.23		家用电器	27.35		
证券	11.65		水务	2.79		软件服务	13.59		综合类	-0.74		广告包装	7.73		有色	-0.52		食品饮料	5.7		运输服务	-1.92		软件服务	11.62		电气设备	1.24		船舶	17.7		家用电器	-1.05		电器仪表	26.75		
钢铁	11.3		保险	2.14		矿物制品	11.82		供气供热	-0.78		运输服务	7.68		银行	-0.74		家用电器	4.76		食品饮料	-2.49		半导体	10.88		工业机械	0.56		有色	15.6		运输服务	-1.31		矿物制品	25.84		
酿酒	10.0		文教休闲	1.59		互联网	11.16		船舶	-0.99		电信运营	7.56		家用电器	-1.27		元器件	4.65		银行	-2.53		医疗保健	8.96		公共交通	0.24		酿酒	13.92		交通设施	-1.31		有色	23.82		
建筑	9.9		传媒娱乐	1.52		通用机械	11.06		汽车类	-1.16		工业机械	7.44		保险	-1.29		半导体	4.63		农林牧渔	-2.74		证券	8.73		通用机械	0.21		电器仪表	12.17		日用化工	-1.5		半导体	23.56		
交通设施	9.68		医疗保健	1.5		广告包装	10.84		半导体	-1.42		建材	7.2		石油	-1.44		酒店餐饮	4.4		保险	-2.75		仓储物流	8.17		汽车类	0.2		电信运营	10.89		汽车类	-1.68		食品饮料	22.39		
保险	9.28		运输设备	1.22		文教休闲	10.69		交通设施	-1.51		电器仪表	7.12		化纤	-1.81		医疗保健	4.15		电力	-2.86		通信设备	8.14		仓储物流	0.14		医疗保健	10.66		水务	-1.7		汽车类	21.87		
建材	8.86		通信设备	1.21		工业机械	10.28		家用电器	-1.6		软件服务	7.08		化工	-2.25		仓储物流	4.08		沪深300	-3.72		有色	7.99		通信设备	0.04		医药	10.4		商贸代理	-1.84		造纸	21.64		
化纤	8.53		通用机械	0.99		仓储物流	10.13		通用机械	-1.68		矿物制品	6.96		商业连锁	-2.28		造纸	4.01		石油	-4.18		文教休闲	7.74		化工	-0.15		证券	10.38		家居用品	-2.0		元器件	21.37		
工程机械	8.53		软件服务	0.98		半导体	9.84		电气设备	-1.88		交通设施	6.85		汽车类	-2.29		通用机械	3.9		医药	-4.46		家居用品	7.55		酒店餐饮	-0.36		综合类	10.17		造纸	-2.13		工业机械	21.03		
航空	8.35		互联网	0.85		医疗保健	9.8		通信设备	-2.05		元器件	6.78		纺织服饰	-2.43		广告包装	3.72		交通设施	-4.51		工业机械	7.41		半导体	-0.47		互联网	10.09		多元金融	-2.13		化工	20.64		
房地产	8.33		家居用品	0.83		传媒娱乐	9.64		银行	-2.31		电气设备	6.76		工业机械	-2.5		日用化工	3.64		运输设备	-5.21		电气设备	7.29		食品饮料	-0.54		矿物制品	9.91		医药	-2.41		通信设备	19.84		
化工	8.24		电器仪表	0.77		电气设备	9.61		纺织服饰	-2.35		半导体	6.66		供气供热	-2.56		农林牧渔	3.52		水务	-5.38		化工	7.18		家居用品	-0.59		建材	9.81		电信运营	-2.59		医疗保健	19.56		
造纸	8.23		酒店餐饮	0.75		公共交通	9.49		商业连锁	-2.35		化工	6.64		沪深300	-2.56		电气设备	3.49		房地产	-5.4		酿酒	7.07		家用电器	-0.65		仓储物流	9.62		石油	-2.8		通用机械	19.51		
运输服务	8.2		医药	0.61		元器件	9.48		IT设备	-2.36		综合类	6.56		建材	-2.65		商贸代理	3.48		汽车类	-5.49		通用机械	7.07		船舶	-0.72		食品饮料	9.52		供气供热	-2.96		日用化工	19.09		
运输设备	8.19		电信运营	0.45		商贸代理	9.45		电力	-2.43		环境保护	6.49		房地产	-3.06		工业机械	3.42		酒店餐饮	-5.6		IT设备	7.02		酿酒	-0.73		通信设备	9.45		保险	-3.06		证券	19.06		
煤炭	8.1		半导体	0.29		电器仪表	9.4		商贸代理	-2.48		通用机械	6.48		家居用品	-3.24		电器仪表	3.36		电信运营	-5.72		电器仪表	6.94		银行	-0.76		工业机械	9.16		沪深300	-3.23		医药	17.7		
沪深300	7.9		造纸	0.24		IT设备	9.17		化工	-2.54		汽车类	6.42		环境保护	-3.27		互联网	3.25		电器仪表	-5.82		商贸代理	6.29		电器仪表	-1.05		IT设备	8.76		环境保护	-3.44		多元金融	17.0		
日用化工	7.43		家用电器	0.1		酒店餐饮	8.94		日用化工	-2.56		食品饮料	6.36		造纸	-3.28		化纤	3.04		供气供热	-5.96		传媒娱乐	6.19		电力	-1.21		家用电器	8.74		商业连锁	-3.45		电信运营	16.48		
多元金融	7.28		工业机械	-0.04		航空	8.93		食品饮料	-2.56		造纸	6.22		通信设备	-3.29		环境保护	3.02		传媒娱乐	-6.46		互联网	6.17		房地产	-1.25		多元金融	8.64		综合类	-3.45		电气设备	16.47		
石油	7.18		元器件	-0.07		日用化工	8.88		旅游	-2.57		建筑	6.01		证券	-3.57		通信设备	3.0		建筑	-6.64		多元金融	5.86		广告包装	-1.27		化工	8.62		煤炭	-3.56		仓储物流	16.05		
纺织服饰	7.17		纺织服饰	-0.19		化纤	8.63		环境保护	-2.61		IT设备	6.01		医药	-3.66		综合类	3.0		造纸	-6.78		日用化工	5.66		元器件	-1.3		环境保护	8.27		公共交通	-3.74		家居用品	15.94		
商贸代理	7.16		食品饮料	-0.21		纺织服饰	8.56		工业机械	-2.74		传媒娱乐	5.97		运输服务	-3.66		矿物制品	2.91		旅游	-6.94		综合类	5.53		航空	-1.31		软件服务	7.98		建筑	-3.76		广告包装	15.81		
商业连锁	7.05		旅游	-0.21		化工	8.37		航空	-2.8		化纤	5.79		综合类	-3.72		化工	2.81		商贸代理	-6.97		电信运营	5.22		供气供热	-1.31		建筑	7.92		酒店餐饮	-3.9		软件服务	14.67		
食品饮料	7.01		汽车类	-0.3		综合类	8.32		软件服务	-2.83		文教休闲	5.66		医疗保健	-3.83		医药	2.79		有色	-7.09		建材	5.18		运输服务	-1.43		广告包装	7.8		房地产	-3.97		建材	14.37		
家居用品	6.94		仓储物流	-0.38		造纸	8.09		互联网	-2.84		有色	5.6		酒店餐饮	-3.83		商业连锁	2.63		证券	-7.2		广告包装	5.16		钢铁	-1.52		造纸	7.69		钢铁	-4.03		综合类	14.14		
电力	6.83		建筑	-0.42		电信运营	7.93		有色	-3.04		农林牧渔	5.56		通用机械	-3.97		纺织服饰	2.33		船舶	-7.25		纺织服饰	4.92		纺织服饰	-1.55		半导体	7.47		旅游	-4.07		纺织服饰	13.86		
家用电器	6.78		银行	-0.43		有色	7.8		医药	-3.1		工程机械	5.53		电力	-4.0		供气供热	2.22		互联网	-7.36		运输设备	4.55		旅游	-1.69		运输服务	7.38		建材	-4.26		运输服务	13.56		
农林牧渔	6.73		电力	-0.45		通信设备	7.79		公共交通	-3.1		医疗保健	5.43		酿酒	-4.0		汽车类	2.01		元器件	-7.39		钢铁	4.53		石油	-1.71		家居用品	7.24		化纤	-4.5		农林牧渔	12.82		
电器仪表	6.69		综合类	-0.59		农林牧渔	7.7		家居用品	-3.11		通信设备	5.33		文教休闲	-4.04		IT设备	2.0		医疗保健	-7.42		航空	4.53		农林牧渔	-1.72		工程机械	7.11		工程机械	-4.54		船舶	12.53		
