160801-160816	+		160816-160825	-		160825-160907	+		160907-160927	-		160927-161024	+		161024-161031	-		161031-161129	+		161129-161226	-		160801-161226	#2		
房地产	16.95		酒店餐饮	6.65		环境保护	10.8		房地产	1.61		建筑	15.74		酿酒	3.18		建筑	22.02		电信运营	11.61		电信运营	34.59		
多元金融	13.7		环境保护	1.87		水务	7.83		供气供热	0.44		电信运营	13.46		文教休闲	1.02		运输设备	19.53		船舶	6.52		建筑	31.71		
公共交通	12.26		传媒娱乐	1.7		家用电器	6.39		化纤	0.2		煤炭	12.88		有色	0.83		保险	12.26		石油	5.16		化纤	19.38		
综合类	11.05		日用化工	0.87		造纸	5.11		酒店餐饮	-0.58		船舶	9.94		食品饮料	0.51		家用电器	11.52		化纤	1.17		钢铁	16.45		
水务	10.11		元器件	0.61		建筑	4.49		通用机械	-0.64		仓储物流	9.01		农林牧渔	0.2		电信运营	11.41		文教休闲	0.58		多元金融	16.38		
证券	9.82		化工	0.41		保险	3.71		旅游	-0.69		通用机械	7.72		多元金融	0.18		钢铁	9.6		商业连锁	0.25		通用机械	16.34		
建筑	9.44		家居用品	0.28		工程机械	3.34		建材	-1.2		运输设备	7.65		建材	0.0		船舶	9.01		农林牧渔	-0.82		船舶	15.93		
医疗保健	8.53		建材	0.22		综合类	2.99		钢铁	-1.25		多元金融	7.53		保险	-0.0		工程机械	8.13		化工	-0.85		石油	14.53		
矿物制品	8.05		钢铁	0.19		半导体	2.94		广告包装	-1.34		工程机械	7.44		证券	-0.07		运输服务	7.98		通用机械	-1.01		建材	14.51		
商贸代理	7.51		造纸	0.11		通信设备	2.66		煤炭	-1.38		家居用品	7.24		房地产	-0.11		有色	7.6		纺织服饰	-2.05		商业连锁	13.41		
建材	7.05		银行	-0.05		建材	2.64		银行	-1.79		水务	6.86		汽车类	-0.16		证券	6.9		日用化工	-2.34		化工	12.54		
化纤	6.81		医药	-0.09		有色	2.33		造纸	-1.86		运输服务	6.85		商业连锁	-0.17		沪深300	6.83		酿酒	-2.62		酒店餐饮	12.26		
煤炭	6.79		通用机械	-0.21		元器件	2.22		保险	-1.92		综合类	6.65		供气供热	-0.36		交通设施	6.24		酒店餐饮	-2.71		保险	12.17		
钢铁	6.73		农林牧渔	-0.25		旅游	1.99		工程机械	-2.05		化工	6.64		工业机械	-0.44		多元金融	6.24		广告包装	-2.92		文教休闲	11.32		
软件服务	6.72		商贸代理	-0.37		工业机械	1.97		纺织服饰	-2.14		商贸代理	6.61		家用电器	-0.49		文教休闲	5.86		造纸	-2.97		造纸	11.02		
电气设备	6.56		工业机械	-0.37		化纤	1.83		互联网	-2.14		食品饮料	6.59		医疗保健	-0.5		石油	5.62		综合类	-3.04		环境保护	10.86		
互联网	6.54		商业连锁	-0.46		商业连锁	1.82		家居用品	-2.19		酒店餐饮	6.56		纺织服饰	-0.52		建材	4.9		供气供热	-3.91		工程机械	10.69		
环境保护	6.4		通信设备	-0.46		航空	1.65		汽车类	-2.27		钢铁	6.02		银行	-0.61		日用化工	4.87		钢铁	-3.98		综合类	10.11		
航空	6.39		供气供热	-0.47		矿物制品	1.56		医药	-2.29		化纤	5.83		传媒娱乐	-0.8		银行	4.82		家居用品	-4.04		运输设备	9.39		
