181019-181102	+		181102-181112	-		181112-181119	+		181119-181127	-		181127-181203	+		181203-181210	-		181210-181225	*		181019-181225	#2		
证券	21.66	pp	综合类	7.85	pp	证券	9.8	pp	船舶	-0.45	pp	酿酒	9.64	pp	运输设备	2.37	pp	通信设备	2.01	pp	农林牧渔	14.06	pp	
互联网	11.54	pp	供气供热	5.99	pp	房地产	9.58	pp	运输设备	-1.75	pp	电器仪表	8.92	pp	供气供热	0.97	pp	电力	0.88	pp	通信设备	13.04	pp	
酒店餐饮	11.52	pp	矿物制品	5.39	pp	公共交通	9.48	pp	银行	-2.46	pp	酒店餐饮	5.87	pp	农林牧渔	0.35	pp	家用电器	0.07	pp	文教休闲	12.08	pp	
运输服务	11.41	pp	广告包装	5.08	pp	矿物制品	9.23	pp	医疗保健	-2.59	pp	农林牧渔	5.58	pp	建筑	-0.07	pp	电信运营	0.0	pp	证券	11.27	pp	
房地产	11.27	pp	造纸	4.98	pp	多元金融	9.02	pp	医药	-2.84	pp	食品饮料	5.53	pp	钢铁	-0.63	pp	汽车类	-0.04	pp	综合类	11.24	pp	
环境保护	11.02	pp	通信设备	4.42	pp	商贸代理	7.13	pp	通信设备	-3.45	pp	运输服务	4.93	pp	煤炭	-0.91	pp	文教休闲	-0.14	pp	房地产	9.88	pp	
电器仪表	10.87	pp	文教休闲	4.2	pp	综合类	6.99	pp	文教休闲	-3.46	pp	旅游	4.75	pp	电力	-0.98	pp	食品饮料	-0.73	pp	运输设备	9.16	pp	
多元金融	10.79	pp	环境保护	3.98	pp	互联网	6.61	pp	航空	-3.46	pp	半导体	4.67	pp	传媒娱乐	-1.38	pp	旅游	-0.78	pp	广告包装	9.05	pp	
矿物制品	10.18	pp	通用机械	3.26	pp	传媒娱乐	6.33	pp	农林牧渔	-3.83	pp	元器件	4.29	pp	水务	-1.4	pp	多元金融	-1.43	pp	通用机械	9.05	pp	
医疗保健	9.96	pp	农林牧渔	3.09	pp	家居用品	6.12	pp	日用化工	-3.99	pp	有色	4.21	pp	旅游	-1.49	pp	日用化工	-1.71	pp	公共交通	8.83	pp	
有色	9.73	p	商贸代理	3.07	p	供气供热	5.72	p	通用机械	-4.02	p	家居用品	4.0	p	石油	-1.65	p	船舶	-1.72	p	矿物制品	7.98	p	
综合类	9.32	p	水务	3.03	p	纺织服饰	5.45	p	汽车类	-4.2	p	沪深300	3.94	0	广告包装	-1.72	p	工程机械	-1.74	p	日用化工	7.88	p	
商贸代理	9.2	p	IT设备	2.89	p	环境保护	5.2	p	酿酒	-4.25	p	日用化工	3.86	p	化工	-1.77	p	IT设备	-1.82	p	水务	7.87	p	
公共交通	9.1	p	工业机械	2.78	p	电器仪表	5.19	p	广告包装	-4.26	p	医疗保健	3.84	p	工程机械	-1.79	p	运输设备	-2.08	p	半导体	7.34	p	
半导体	8.96	p	公共交通	2.55	p	通用机械	5.08	p	仓储物流	-4.35	p	证券	3.81	p	有色	-1.81	p	电气设备	-2.08	p	互联网	7.31	p	
通用机械	8.44	p	半导体	2.55	p	水务	5.06	p	食品饮料	-4.41	p	化工	3.74	p	通用机械	-1.88	p	水务	-2.14	p	环境保护	7.17	p	
